Rank,Country,Population,Year
155,Mauritius,1371946,2019 (Est.)
156,East Timor,1365660,2019 (Est.)
157,Cyprus,1252147,2019 (Est.)
158,Estonia,1212582,2019 (Est.)
159,Trinidad and Tobago,1212401,2019 (Est.)
160,Fiji,931295,2019 (Est.)
161,Djibouti,902892,2019 (Est.)
162,Comoros,833909,2019 (Est.)
163,Equatorial Guinea,816736,2019 (Est.)
164,Bhutan,774410,2019 (Est.)
165,Guyana,748823,2019 (Est.)
166,Solomon Islands,672631,2019 (Est.)
167,Montenegro,639905,2019 (Est.)
168,Western Sahara,635896,2019 (Est.)
169,Macau,610510,2019 (Est.)
170,Suriname,603823,2019 (Est.)
171,Cape Verde,575839,2019 (Est.)
172,Luxembourg,550167,2019 (Est.)
173,Brunei,457533,2019 (Est.)
174,Malta,418313,2019 (Est.)
175,Maldives,392217,2019 (Est.)
176,Belize,373257,2019 (Est.)
177,The Bahamas,335210,2019 (Est.)
178,Iceland,327252,2019 (Est.)
179,Barbados,293874,2019 (Est.)
180,French Polynesia,292789,2019 (Est.)
181,New Caledonia,286401,2019 (Est.)
182,Vanuatu,247994,2019 (Est.)
183,Mayotte,227207,2019 (Est.)
184,Sao Tome and Principe,207822,2019 (Est.)
185,Samoa,202541,2019 (Est.)
186,Guam,201604,2019 (Est.)
187,Saint Lucia,166008,2019 (Est.)
188,Netherlands Antilles,150809,2019 (Est.)
189,Aruba,118013,2019 (Est.)
190,Grenada,112665,2019 (Est.)
191,Kiribati,110587,2019 (Est.)
192,U.S. Virgin Islands,108677,2019 (Est.)
193,Tonga,106270,2019 (Est.)
194,Federated States of Micronesia,103057,2019 (Est.)
195,Saint Vincent and the Grenadines,101612,2019 (Est.)
196,Channel Islands,100348,2019 (Est.)
197,Antigua and Barbuda,97031,2019 (Est.)
198,Seychelles,95321,2019 (Est.)
199,Isle of Man,89969,2019 (Est.)
200,Andorra,85684,2019 (Est.)
201,Marshall Islands,76811,2019 (Est.)
202,Dominica,74144,2019 (Est.)
203,American Samoa,74118,2019 (Est.)
204,Bermuda,71472,2019 (Est.)
205,Guernsey,66880,2019 (Est.)
206,Cayman Islands,60781,2019 (Est.)
207,Greenland,57660,2019 (Est.)
208,Turks and Caicos Islands,54819,2019 (Est.)
209,Saint Kitts and Nevis,53463,2019 (Est.)
210,Faroe Islands,51319,2019 (Est.)
211,Northern Mariana Islands,48052,2019 (Est.)
212,Sint Maarten,43265,2019 (Est.)
213,Liechtenstein,38844,2019 (Est.)
214,British Virgin Islands,36591,2019 (Est.)
215,San Marino,34010,2019 (Est.)
216,Saint Martin,32427,2019 (Est.)
217,Monaco,30825,2019 (Est.)
218,Gibraltar,29523,2019 (Est.)
219,Palau,21600,2019 (Est.)
220,Anguilla,17756,2019 (Est.)
221,Wallis and Futuna,15809,2019 (Est.)
222,Tuvalu,11244,2019 (Est.)
223,Nauru,9740,2019 (Est.)
224,Cook Islands,8799,2019 (Est.)
225,Saint Helena,7852,2019 (Est.)
226,Saint Barth_lemy,7140,2019 (Est.)
227,Saint Pierre and Miquelon,5409,2019 (Est.)
228,Montserrat,5342,2019 (Est.)
